"Country,Other"        ,TotalCases    ,NewCases   ,TotalDeaths ,NewDeaths ,TotalRecovered ,NewRecovered ,ActiveCases  ,"Serious,Critical" ,Tot Cases/1M pop ,Deaths/1M pop ,TotalTests    ,Tests/1M pop ,Population
Lithuania              ,"280,541"     ,+233       ,"4,409 "    ,          ,"268,521"      ,+54          ,"7,611"      ,14                 ,"104,599"        ,"1,644"       ,"3,942,004"   ,"1,469,760"  ,"2,682,074 "
Ethiopia               ,"278,105"     ,           ,"4,363 "    ,          ,"262,692"      ,             ,"11,050"     ,160                ,"2,358"          ,37            ,"2,970,769"   ,"25,186"     ,"117,955,131 "
Bahrain                ,"268,225"     ,           ,"1,381 "    ,          ,"266,036"      ,             ,808          ,9                  ,"152,094"        ,783           ,"5,321,957"   ,"3,017,749"  ,"1,763,552 "
Slovenia               ,"258,525"     ,+58        ,"4,426 "    ,          ,"253,281"      ,+81          ,818          ,8                  ,"124,336"        ,"2,129"       ,"1,380,745"   ,"664,062"    ,"2,079,240 "
Moldova                ,"258,365"     ,           ,"6,236 "    ,          ,"251,242"      ,             ,887          ,57                 ,"64,205"         ,"1,550"       ,"1,365,069"   ,"339,227"    ,"4,024,055 "
Myanmar                ,"253,364"     ,           ,"6,133 "    ,          ,"173,926"      ,             ,"73,305"     ,                   ,"4,624"          ,112           ,"3,035,676"   ,"55,401"     ,"54,794,625 "
Libya                  ,"229,604"     ,"+2,171"   ,"3,344 "    ,+22       ,"185,468"      ,+616         ,"40,792"     ,                   ,"32,943"         ,480           ,"1,225,574"   ,"175,843"    ,"6,969,721 "
Armenia                ,"228,382"     ,+221       ,"4,579 "    ,+4        ,"218,796"      ,+120         ,"5,007"      ,                   ,"76,920"         ,"1,542"       ,"1,293,032"   ,"435,497"    ,"2,969,092 "
Qatar                  ,"224,948"     ,+114       ,600         ,          ,"222,727"      ,+127         ,"1,621"      ,30                 ,"80,115"         ,214           ,"2,290,165"   ,"815,642"    ,"2,807,805 "
Bosnia and Herzegovina ,"205,384"     ,           ,"9,673 "    ,          ,"188,330"      ,             ,"7,381"      ,                   ,"63,016"         ,"2,968"       ,"1,058,585"   ,"324,795"    ,"3,259,239 "
Kenya                  ,"195,111"     ,           ,"3,826 "    ,          ,"184,461"      ,             ,"6,824"      ,120                ,"3,546"          ,70            ,"2,074,610"   ,"37,709"     ,"55,016,435 "
Zambia                 ,"189,731"     ,           ,"3,196 "    ,          ,"177,419"      ,             ,"9,116"      ,689                ,"10,026"         ,169           ,"2,036,666"   ,"107,621"    ,"18,924,383 "
S. Korea               ,"185,733"     ,"+1,630"   ,"2,066 "    ,+3        ,"164,206"      ,"+1,133"     ,"19,461"     ,227                ,"3,619"          ,40            ,"11,388,305"  ,"221,926"    ,"51,315,788 "
Nigeria                ,"170,306"     ,           ,"2,130 "    ,          ,"164,772"      ,             ,"3,404"      ,11                 ,805              ,10            ,"2,401,894"   ,"11,356"     ,"211,506,909 "
Algeria                ,"158,213"     ,           ,"4,008 "    ,          ,"108,537"      ,             ,"45,668"     ,46                 ,"3,541"          ,90            ,"230,861"     ,"5,166"      ,"44,684,288 "
North Macedonia        ,"155,981"     ,           ,"5,489 "    ,          ,"150,251"      ,             ,241          ,                   ,"74,873"         ,"2,635"       ,"941,178"     ,"451,776"    ,"2,083,284 "
Kyrgyzstan             ,"155,005"     ,"+1,127"   ,"2,227 "    ,+10       ,"132,138"      ,"+1,396"     ,"20,640"     ,195                ,"23,353"         ,336           ,"1,477,824"   ,"222,647"    ,"6,637,506 "
Mongolia               ,"153,782"     ,"+1,243"   ,761         ,+6        ,"146,977"      ,"+2,732"     ,"6,044"      ,192                ,"46,127"         ,228           ,"3,439,589"   ,"1,031,711"  ,"3,333,870 "
Afghanistan            ,"143,439"     ,           ,"6,357 "    ,          ,"90,973"       ,             ,"46,109"     ,"1,124"            ,"3,599"          ,160           ,"686,527"     ,"17,228"     ,"39,849,874 "
Latvia                 ,"138,382"     ,+38        ,"2,550 "    ,          ,"135,295"      ,+33          ,537          ,9                  ,"74,234"         ,"1,368"       ,"3,071,945"   ,"1,647,925"  ,"1,864,129 "
Norway                 ,"135,235"     ,           ,799         ,          ,"88,952"       ,             ,"45,484"     ,4                  ,"24,741"         ,146           ,"6,528,021"   ,"1,194,306"  ,"5,465,954 "
Albania                ,"132,797"     ,           ,"2,456 "    ,          ,"130,109"      ,             ,232          ,3                  ,"46,199"         ,854           ,"916,777"     ,"318,937"    ,"2,874,477 "
Estonia                ,"132,262"     ,+84        ,"1,271 "    ,          ,"128,314"      ,+43          ,"2,677"      ,5                  ,"99,634"         ,957           ,"1,599,196"   ,"1,204,688"  ,"1,327,477 "
Uzbekistan             ,"122,786"     ,+738       ,819         ,+5        ,"117,303"      ,+548         ,"4,664"      ,23                 ,"3,613"          ,24            ,"1,377,915"   ,"40,551"     ,"33,980,069 "
Namibia                ,"114,400"     ,           ,"2,665 "    ,          ,"90,448"       ,             ,"21,287"     ,119                ,"44,181"         ,"1,029"       ,"594,924"     ,"229,760"    ,"2,589,326 "
Mozambique             ,"105,866"     ,           ,"1,221 "    ,          ,"80,773"       ,             ,"23,872"     ,32                 ,"3,290"          ,38            ,"688,570"     ,"21,401"     ,"32,174,593 "
Finland                ,"102,042"     ,+412       ,978         ,          ,"46,000"       ,             ,"55,064"     ,9                  ,"18,387"         ,176           ,"5,760,243"   ,"1,037,917"  ,"5,549,810 "
Montenegro             ,"100,865"     ,           ,"1,624 "    ,          ,"98,761"       ,             ,480          ,6                  ,"160,575"        ,"2,585"       ,"484,524"     ,"771,351"    ,"628,150 "
Ghana                  ,"100,250"     ,+276       ,819         ,+1        ,"95,871"       ,+333         ,"3,560"      ,15                 ,"3,157"          ,26            ,"1,384,479"   ,"43,599"     ,"31,754,995 "
Botswana               ,"97,657"      ,           ,"1,375 "    ,          ,"84,189"       ,             ,"12,093"     ,1                  ,"40,664"         ,573           ,"1,436,619"   ,"598,201"    ,"2,401,565 "
Cyprus                 ,"95,307"      ,           ,398         ,          ,"75,466"       ,             ,"19,443"     ,48                 ,"78,337"         ,327           ,"9,071,702"   ,"7,456,412"  ,"1,216,631 "
Zimbabwe               ,"93,421"      ,           ,"2,870 "    ,          ,"61,723"       ,             ,"28,828"     ,33                 ,"6,191"          ,190           ,"1,002,150"   ,"66,408"     ,"15,090,794 "
Uganda                 ,"91,355"      ,           ,"2,483 "    ,          ,"71,750"       ,             ,"17,122"     ,794                ,"1,933"          ,53            ,"1,436,820"   ,"30,405"     ,"47,255,917 "
El Salvador            ,"84,144"      ,           ,"2,538 "    ,+9        ,"75,608"       ,             ,"5,998"      ,118                ,"12,904"         ,389           ,"1,118,621"   ,"171,548"    ,"6,520,745 "
Cameroon               ,"81,871"      ,           ,"1,332 "    ,          ,"78,224"       ,             ,"2,315"      ,152                ,"3,006"          ,49            ,"1,751,774"   ,"64,309"     ,"27,240,016 "
Vietnam                ,"78,269"      ,"+3,898"   ,370         ,          ,"13,421"       ,             ,"64,478"     ,                   ,797              ,4             ,"11,890,084"  ,"121,004"    ,"98,262,139 "
Maldives               ,"76,454"      ,           ,218         ,          ,"73,637"       ,             ,"2,599"      ,11                 ,"138,865"        ,396           ,"1,128,039"   ,"2,048,883"  ,"550,563 "
Luxembourg             ,"73,309"      ,           ,821         ,          ,"70,989"       ,             ,"1,499"      ,6                  ,"115,139"        ,"1,289"       ,"3,222,229"   ,"5,060,836"  ,"636,699 "
Cambodia               ,"71,244"      ,+825       ,"1,222 "    ,+34       ,"63,474"       ,+897         ,"6,548"      ,                   ,"4,200"          ,72            ,"1,688,435"   ,"99,538"     ,"16,962,695 "
Singapore              ,"63,924"      ,+133       ,36          ,          ,"62,576"       ,             ,"1,312"      ,1                  ,"10,837"         ,6             ,"15,248,512"  ,"2,584,987"  ,"5,898,873 "
Rwanda                 ,"61,375"      ,           ,704         ,          ,"43,924"       ,             ,"16,747"     ,89                 ,"4,618"          ,53            ,"1,939,765"   ,"145,962"    ,"13,289,508 "
Senegal                ,"55,861"      ,"+1,041"   ,"1,264 "    ,+8        ,"44,611"       ,+257         ,"9,986"      ,43                 ,"3,246"          ,73            ,"621,872"     ,"36,140"     ,"17,207,275 "
Jamaica                ,"51,542"      ,           ,"1,167 "    ,          ,"46,773"       ,             ,"3,602"      ,16                 ,"17,326"         ,392           ,"478,751"     ,"160,935"    ,"2,974,809 "
Ivory Coast            ,"49,386"      ,           ,324         ,          ,"48,655"       ,             ,407          ,                   ,"1,825"          ,12            ,"755,218"     ,"27,904"     ,"27,064,481 "
DRC                    ,"47,404"      ,+130       ,"1,021 "    ,          ,"29,389"       ,             ,"16,994"     ,                   ,513              ,11            ,"248,256"     ,"2,686"      ,"92,417,731 "
